"File","Sheet","Row","Source","Type","Field","Value","Message"
"dispatch","Sheet1","459","260300137","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000553","Dispatch 260300137 has no matching Sales Order (searched by PBO NCLH30000553, order 251100224, invoice 900003365, chassis MCCJY7PRMTN102758, engine SQRH4J15AGTA60679); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","462","260300141","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000577","Dispatch 260300141 has no matching Sales Order (searched by PBO NCLH30000577, order 251100248, invoice 900003397, chassis MCCJY7PRMTN102766, engine SQRH4J15AGSM60681); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","463","260300142","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000590","Dispatch 260300142 has no matching Sales Order (searched by PBO NCLH30000590, order 251100260, invoice 900003398, chassis MCCJY7PRMTN102692, engine SQRH4J15AGSM60902); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","465","260300144","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000602","Dispatch 260300144 has no matching Sales Order (searched by PBO NCLH30000602, order 251100272, invoice 900003400, chassis MCCJY7PRMTN102863, engine SQRH4J15AGSM60649); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","466","260300145","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000595","Dispatch 260300145 has no matching Sales Order (searched by PBO NCLH30000595, order 251100265, invoice 900003401, chassis MCCJY7PRMTN102864, engine SQRH4J15AGSM61112); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","467","260300146","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000468","Dispatch 260300146 has no matching Sales Order (searched by PBO NCLH30000468, order 251100141, invoice 900003443, chassis MCCJY7PRMTN102828, engine SQRH4J15AGSM60695); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","468","260300147","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000397","Dispatch 260300147 has no matching Sales Order (searched by PBO NCLH30000397, order 251100070, invoice 900003446, chassis MCCJY7PRMTN102536, engine SQRH4J15AGSM61128); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","469","260300148","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000631","Dispatch 260300148 has no matching Sales Order (searched by PBO NCLH30000631, order 251200016, invoice 900003444, chassis MCCJY7PRMTN102916, engine SQRH4J15AGTA60310); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","471","260300150","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000626","Dispatch 260300150 has no matching Sales Order (searched by PBO NCLH30000626, order 251200011, invoice 900003447, chassis MCCJY7PRMTN102838, engine SQRH4J15AGSM60714); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","473","260300152","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000617","Dispatch 260300152 has no matching Sales Order (searched by PBO NCLH30000617, order 251200002, invoice 900003505, chassis MCCJY7PRMTN102898, engine SQRH4J15AGSM61294); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
